time,temperature,humidity,pressure
5,24.00,84.00,14.00
10,24.00,86.00,14.00
15,24.00,86.00,14.00
20,24.00,86.00,14.00
25,24.00,86.00,14.00
30,24.00,87.00,14.00
35,24.00,87.00,14.00
40,24.00,87.00,14.00
45,24.00,87.00,14.00
50,24.00,87.00,14.00
55,24.00,87.00,14.00
60,24.00,87.00,14.00
65,24.00,87.00,14.00
70,24.00,87.00,14.00
75,24.00,87.00,14.00
80,24.00,87.00,14.00
85,24.00,87.00,14.00
90,24.00,87.00,14.00
95,24.00,87.00,14.00
100,24.00,87.00,14.00
105,24.00,87.00,14.00
110,24.00,87.00,14.00
115,24.00,87.00,14.00
120,24.00,87.00,14.00
155,24.00,56.00,14.00
160,24.00,62.00,14.00
165,24.00,78.00,14.00
170,24.00,79.00,14.00
175,24.00,81.00,14.00
180,24.00,82.00,14.00
185,24.00,83.00,14.00
190,24.00,83.00,14.00
195,24.00,83.00,14.00
200,24.00,85.00,14.00
205,24.00,86.00,14.00
210,24.00,86.00,14.00
215,24.00,86.00,14.00